step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1025,43,15441,197.9615385,3.251692306,43,22502,0.170155562,43,22502
1030,50,15675,193.5185185,3.217593589,50,22726,0.145127,50,22726
1035,58,15948,187.6235294,2.429432934,58,22989,0.104524563,58,22989
1040,64,16255,189.0116279,1.834509587,64,23286,0.099622252,64,23286
1045,74,16600,186.5168539,1.559294875,74,23621,0.065872337,74,23621
1050,78,16981,192.9659091,1.450941152,78,23994,0.065163494,78,23994
1055,80,17373,193.0333333,1.356906282,80,24376,0.040698187,80,24376
1060,80,17773,197.4777778,1.434874124,80,24766,0.063451008,80,24766
1065,74,17848,198.3111111,0.924727397,74,25020,0.058088982,74,25020
1070,72,18072,196.4347826,1.990259947,72,25151,0.083631012,72,25151
1075,74,18435,192.03125,2.508820399,74,25400,0.083271213,74,25400
1080,71,18749,203.7934783,1.654828998,71,25736,0.039030077,71,25736
1085,73,19094,198.8958333,2.504695707,73,26043,0.08698579,73,26043
1090,73,19459,213.8351648,2.337344003,73,26383,0.055044491,73,26383
1095,75,19828,213.2043011,2.502467407,75,26732,0.066227811,75,26732
1100,75,20203,229.5795455,1.848561227,75,27087,0.067187044,75,27087
1105,71,20480,232.7272727,1.445272225,71,27385,0.081508822,71,27385
1110,74,20847,239.6206897,1.720152955,74,27690,0.066016188,74,27690
1115,76,21221,233.1978022,1.909540066,76,28044,0.052681327,76,28044
1120,73,21542,242.0449438,1.459969714,73,28380,0.059429817,73,28380
1125,71,21887,243.1888889,2.080803616,71,28680,0.088021436,71,28680
1130,72,22243,244.4285714,2.619299707,72,29006,0.075921084,72,29006
1135,70,22579,253.6966292,2.083564692,70,29326,0.082053206,70,29326
1140,74,22940,269.8823529,1.595307056,74,29663,0.058325483,74,29663
1145,75,23311,261.9213483,1.709282395,75,30014,0.069485185,75,30014
1150,78,23696,275.5348837,1.156362484,78,30379,0.057567831,78,30379
1155,74,24000,258.0645161,1.594579969,74,30711,0.079225702,74,30711
1160,72,24334,264.5,2.265681285,72,30990,0.083412063,72,30990
1165,72,24694,257.2291667,2.814202547,72,31300,0.099218619,72,31300
1170,73,25055,272.3369565,2.154783549,73,31631,0.06766338,73,31631
1175,76,25431,288.9886364,1.330873102,76,31977,0.08129621,76,31977
1180,79,25818,286.8666667,1.368087851,79,32334,0.06299438,79,32334
1185,74,26145,284.1847826,1.341787525,74,32666,0.072017127,74,32666
1190,72,26494,281.8510638,2.157599951,72,32962,0.086207334,72,32962
1195,74,26864,285.787234,2.582140196,74,33290,0.074596322,74,33290
1200,74,27234,296.0217391,2.28529425,74,33630,0.047930459,74,33630
1205,72,27574,303.010989,2.253708242,72,33944,0.093096882,72,33944
1210,73,27936,324.8372093,1.481883483,73,34272,0.067635032,73,34272
1215,76,28313,314.5888889,1.897985142,76,34619,0.078200019,76,34619
1220,72,28654,325.6136364,1.394303157,72,34946,0.075988609,72,34946
1225,72,29014,322.3777778,1.930938796,72,35260,0.091169559,72,35260
1230,75,29382,312.5744681,2.427647159,75,35596,0.065698378,75,35596
1235,76,29762,327.0549451,1.932967264,76,35936,0.055739325,76,35936
1240,78,30148,334.9777778,1.668807185,78,36282,0.064692155,78,36282
1245,78,30538,347.0227273,1.435241683,78,36632,0.065296753,78,36632
1250,75,30860,335.4347826,1.618728856,75,36936,0.078655966,75,36936
1255,77,31243,347.1444444,1.679498037,77,37257,0.058483722,77,37257
1260,80,31634,340.1505376,1.566745101,80,37608,0.042805894,80,37608
1265,75,31973,347.5326087,1.479213414,75,37936,0.058827976,75,37936
1270,74,32339,347.7311828,2.109688437,74,38237,0.093209422,74,38237
1275,75,32710,351.7204301,2.367437002,75,38564,0.068465263,75,38564
1280,76,33081,355.7096774,2.020195479,76,38895,0.074511635,76,38895
